area_sqft,bedroom,bathroom,location,avg_rent
900,2,2,uttara,18000.0
1200,3,3,shahjahanpur,30000.0
720,2,2,mohammadpur,17000.0
1400,3,3,tejgaon,32000.0
1300,3,3,tejgaon,35000.0
700,2,2,mohammadpur,13000.0
1250,3,3,mohammadpur,16000.0
850,2,2,kafrul,15000.0
500,2,2,dakshin khan,8000.0
1100,3,3,badda,18000.0
700,2,2,badda,15000.0
900,2,2,dhanmondi,22000.0
520,2,1,mohammadpur,10000.0
720,2,2,mohammadpur,15000.0
1600,3,3,mirpur,25000.0
1200,3,3,nadda,24000.0
2800,4,4,gulshan,140000.0
1840,3,3,malibagh,35000.0
750,2,2,mirpur,12000.0
1300,2,2,sutrapur,20000.0
1600,4,4,banasree,35000.0
1050,2,2,motijheel,23000.0
1100,3,3,mirpur,30000.0
1200,3,3,adabor,20000.0
1200,2,3,mirpur,20000.0
800,2,2,adabor,15000.0
900,2,2,banasree,15500.0
800,2,1,bashabo,13000.0
550,2,1,maghbazar,12000.0
800,2,2,adabor,16000.0
1400,3,3,new market,33000.0
600,2,1,kalachandpur,12000.0
450,1,1,mohammadpur,11000.0
1100,3,2,khilgaon,19000.0
850,2,2,mirpur,11000.0
1300,3,3,dakshin khan,14000.0
2201,4,4,banasree,35000.0
800,2,2,adabor,16000.0
1200,3,2,malibagh,19000.0
900,2,2,north shahjahanpur,18000.0
1800,3,3,bashundhara r-a,45000.0
1250,3,3,mirpur,16000.0
1050,3,2,mirpur,15000.0
1800,3,4,dhanmondi,80000.0
2200,3,5,dhanmondi,62000.0
800,2,2,uttara,17480.0
550,2,1,mirpur,10000.0
900,3,3,nikunja,25000.0
1300,4,3,mirpur,20000.0
1350,3,3,bashundhara r-a,24000.0
720,2,2,mohammadpur,16000.0
650,2,2,mirpur,12000.0
1400,3,2,mirpur,18000.0
1050,3,3,mohammadpur,15000.0
900,2,2,maghbazar,18000.0
750,2,2,mohammadpur,12500.0
1600,3,3,bashundhara r-a,30000.0
700,2,2,dakshin khan,11500.0
720,2,2,badda,16000.0
850,2,2,uttara,17000.0
650,2,2,mirpur,11500.0
800,2,2,mirpur,11700.0
1050,3,2,cantonment,13000.0
650,2,1,mohammadpur,14000.0
1250,3,3,mohammadpur,15000.0
950,2,2,uttara,18500.0
650,2,2,mirpur,12500.0
1100,3,3,banasree,21000.0
750,2,2,kalachandpur,16000.0
1100,3,3,mirpur,20000.0
600,2,2,dakshin khan,9000.0
2134,3,4,uttara,50000.0
800,2,2,bashundhara r-a,18000.0
780,2,2,dakshin khan,18000.0
1200,2,2,mirpur,26000.0
650,2,2,mirpur,13000.0
700,2,2,hazaribag,14000.0
1150,2,2,mirpur,13000.0
850,2,2,mirpur,11000.0
1100,3,2,mirpur,15000.0
780,2,2,dakshin khan,18000.0
650,2,2,mirpur,13000.0
700,2,2,mirpur,12000.0
700,2,2,badda,10500.0
650,2,2,mirpur,12500.0
1600,3,3,mohammadpur,19000.0
700,2,2,dakshin khan,14000.0
1350,3,3,mirpur,20000.0
1300,3,3,mirpur,28000.0
1400,3,3,malibagh,28000.0
700,2,2,dakshin khan,9500.0
750,2,2,mohammadpur,10000.0
650,2,1,badda,11000.0
2050,3,4,baridhara,120000.0
1450,3,4,bashundhara r-a,30000.0
1100,3,2,aftab nagar,17000.0
1600,2,2,gulshan,60000.0
950,3,2,malibagh,19000.0
800,2,2,dakshin khan,12000.0
850,2,2,badda,12000.0
2450,4,4,gulshan,150000.0
650,2,2,mirpur,10000.0
500,2,1,kotwali,12000.0
650,2,2,badda,12000.0
650,2,2,mirpur,12000.0
1400,3,2,mirpur,15000.0
1400,3,3,mirpur,23000.0
1255,3,3,mirpur,18000.0
1400,3,3,eskaton,38000.0
2600,3,3,gulshan,120000.0
2600,4,4,banani,80000.0
1200,3,3,mohammadpur,15000.0
900,3,2,mirpur,15000.0
2200,4,5,mirpur,44000.0
750,2,2,motijheel,26000.0
800,2,2,adabor,15000.0
1500,3,3,bashundhara r-a,25000.0
1000,3,2,badda,15000.0
750,2,2,mirpur,14500.0
1130,3,2,mirpur,17000.0
900,2,2,maghbazar,17000.0
2200,4,4,bashundhara r-a,52000.0
3000,3,4,gulshan,150000.0
1530,3,3,bashundhara r-a,25000.0
900,2,2,uttara,20000.0
1000,3,2,banasree,19000.0
2200,3,3,mirpur,40000.0
1050,3,2,uttara,16200.0
700,2,2,tejgaon,18000.0
1520,3,3,mirpur,25000.0
1200,3,3,bashundhara r-a,20000.0
1800,4,4,bashundhara r-a,40000.0
680,2,2,tejgaon,21000.0
1350,3,3,mohammadpur,15000.0
1500,3,3,mohammadpur,15000.0
1000,3,2,banasree,15000.0
800,3,2,bashabo,15000.0
1600,3,3,bashundhara r-a,26000.0
900,3,2,hazaribag,15000.0
650,2,1,uttara,15000.0
1600,3,3,mirpur,26000.0
650,2,2,mirpur,12000.0
1200,3,3,uttara,23000.0
800,2,2,mirpur,10500.0
700,2,1,badda,14000.0
1300,3,3,mirpur,28500.0
1150,3,3,mohammadpur,15000.0
650,2,2,mirpur,16000.0
1800,3,3,uttara,26000.0
1450,3,3,mirpur,18000.0
750,2,2,tejgaon,22000.0
650,2,2,malibagh,14000.0
700,2,2,mohammadpur,11000.0
2500,4,4,baridhara,160000.0
650,2,2,mirpur,12000.0
650,2,2,mirpur,14000.0
700,2,1,banasree,12000.0
1420,3,3,mirpur,24000.0
750,2,2,mohammadpur,15000.0
700,2,2,north shahjahanpur,20000.0
600,2,1,dakshin khan,10500.0
1660,3,3,banasree,35000.0
1000,3,2,mohammadpur,10500.0
900,3,2,tejgaon,27000.0
700,2,2,dakshin khan,9500.0
1336,3,3,rampura,22000.0
650,2,2,mirpur,10000.0
600,2,1,sutrapur,18500.0
1800,4,3,banasree,30000.0
800,2,2,mirpur,12000.0
720,2,2,mohammadpur,11000.0
650,2,2,aftab nagar,14000.0
650,2,2,mirpur,10000.0
1200,3,3,mirpur,25000.0
1100,3,3,mohammadpur,13000.0
1100,3,3,dakshin khan,15000.0
1700,3,3,uttara,50000.0
1500,3,3,badda,20000.0
950,2,2,uttara,30000.0
1700,3,3,baridhara,41000.0
650,2,2,mirpur,15000.0
1654,3,3,uttara,12000.0
1000,3,2,mirpur,17000.0
1100,3,2,mohammadpur,14000.0
1500,3,3,uttara,28000.0
1500,3,3,mohammadpur,26000.0
600,2,1,tejgaon,12000.0
1500,3,4,bashundhara r-a,25000.0
1080,3,2,lalbagh,20000.0
1580,3,4,lalmatia,45000.0
1200,3,3,shantinagar,30000.0
600,2,1,bashabo,12500.0
600,2,2,mirpur,10500.0
1800,3,4,bashundhara r-a,27000.0
800,2,2,uttara,18000.0
1150,3,3,mohammadpur,18000.0
750,2,2,mohammadpur,11000.0
1000,3,2,banasree,17500.0
1100,3,3,aftab nagar,17000.0
500,2,1,bangshal,11000.0
650,2,2,mirpur,9000.0
700,2,2,dakshin khan,10500.0
750,2,2,kalachandpur,14000.0
820,2,2,mohammadpur,10000.0
1200,3,3,mirpur,18000.0
720,2,2,mohammadpur,14000.0
700,2,1,malibagh,16000.0
2250,4,4,mirpur,40000.0
950,2,2,uttara,16000.0
1200,3,2,uttara,18000.0
650,2,2,mirpur,12500.0
800,2,2,mohammadpur,15000.0
1100,3,2,banasree,20000.0
750,2,2,badda,14000.0
1285,3,3,badda,22000.0
650,2,2,mirpur,14000.0
1050,3,2,mirpur,14000.0
700,2,1,bashabo,17000.0
700,2,2,kalachandpur,12000.0
700,2,1,uttara,16000.0
900,2,2,uttara,18000.0
700,2,2,mohammadpur,11500.0
650,2,2,mirpur,10000.0
1000,2,2,khilgaon,12000.0
650,2,2,mohammadpur,16000.0
700,2,2,mohammadpur,15500.0
700,2,2,mohammadpur,11500.0
1440,3,4,badda,26000.0
1600,3,3,uttara,40000.0
1200,3,3,cantonment,17000.0
700,2,2,dakshin khan,14000.0
1200,3,3,mirpur,28000.0
650,2,2,mirpur,12000.0
700,2,2,hazaribag,16000.0
750,2,2,nadda,14000.0
1000,2,1,uttara,25000.0
750,2,2,kuril,14000.0
750,2,2,bashundhara r-a,18000.0
800,2,2,mohammadpur,14500.0
1225,3,3,uttara,17500.0
1950,3,3,gulshan,60000.0
1050,3,2,khilkhet,15000.0
750,2,2,mohammadpur,11000.0
850,2,2,mirpur,16000.0
2200,4,4,mirpur,35000.0
900,2,2,agargaon,15000.0
970,2,2,khilgaon,15000.0
780,2,2,mohammadpur,16500.0
650,2,2,mirpur,10000.0
1450,3,3,bashundhara r-a,36000.0
1600,3,3,bashundhara r-a,27000.0
700,2,2,badda,13000.0
1600,3,3,khilgaon,20000.0
1550,4,4,banasree,30000.0
650,2,2,mirpur,13500.0
750,2,2,mohammadpur,12000.0
700,2,2,mohammadpur,16000.0
1100,3,3,dakshin khan,16000.0
950,3,2,khilgaon,15000.0
2200,3,4,tejgaon,50000.0
1058,2,2,maghbazar,28000.0
970,3,2,badda,17000.0
1400,3,3,bashundhara r-a,26000.0
700,2,2,shantinagar,20000.0
600,2,1,mohammadpur,14500.0
1800,3,3,mirpur,27000.0
500,2,1,north shahjahanpur,15000.0
500,2,1,dakshin khan,8000.0
1250,3,3,mirpur,20000.0
1810,3,4,bashundhara r-a,27000.0
650,2,2,mirpur,11000.0
1250,3,2,mohammadpur,25000.0
1700,3,4,uttara,30000.0
800,2,2,kuril,13000.0
800,2,2,mirpur,14000.0
1000,2,2,kalachandpur,18000.0
850,2,2,mirpur,14000.0
750,2,1,hazaribag,14000.0
650,2,2,mohammadpur,15000.0
1775,3,3,niketan,50000.0
800,2,2,nadda,15000.0
750,2,2,mohammadpur,14000.0
900,2,2,joar sahara,15000.0
650,2,2,khilkhet,10500.0
800,2,2,rampura,14000.0
700,2,2,north shahjahanpur,20000.0
650,2,2,mirpur,11000.0
1550,3,3,bashundhara r-a,30000.0
2200,4,4,mirpur,40000.0
720,2,2,badda,15000.0
1150,2,2,mirpur,28000.0
650,2,2,mirpur,11000.0
500,2,2,uttara,20000.0
700,2,2,cantonment,13000.0
750,2,2,adabor,16000.0
1600,3,3,shantinagar,35000.0
1350,3,3,kathalbagan,35000.0
1000,2,2,bashundhara r-a,30000.0
1200,3,3,dhanmondi,30000.0
1600,3,4,shantinagar,35000.0
1200,3,3,mirpur,13000.0
1200,3,2,mirpur,25000.0
700,2,2,dakshin khan,11000.0
600,2,1,malibagh,14000.0
700,2,2,shahjahanpur,20000.0
650,2,1,rampura,11000.0
750,2,2,mohammadpur,16000.0
1250,3,3,aftab nagar,22000.0
650,2,2,mirpur,10000.0
1450,3,3,bashundhara r-a,24000.0
1100,3,3,mohammadpur,13000.0
1200,3,3,mirpur,18000.0
1600,4,4,uttara,35000.0
700,2,2,mohammadpur,15000.0
700,2,2,dakshin khan,10000.0
900,3,2,new market,22000.0
1800,3,4,bashundhara r-a,24000.0
1200,3,3,dakshin khan,17000.0
1500,3,3,uttara,25000.0
1400,3,3,mohammadpur,30000.0
1100,2,2,mirpur,28000.0
750,2,2,bashabo,15500.0
650,2,2,mirpur,10500.0
1050,3,2,mirpur,17000.0
1000,3,3,mirpur,18000.0
600,2,1,hazaribag,10000.0
2200,4,4,mirpur,43000.0
800,2,2,adabor,15000.0
1200,3,3,cantonment,13000.0
1250,3,2,badda,15000.0
750,2,2,mohammadpur,11000.0
800,2,2,mirpur,12500.0
1100,3,2,mirpur,15000.0
550,1,1,badda,11000.0
700,2,2,dakshin khan,11500.0
700,2,1,motijheel,17000.0
1000,3,2,banasree,18000.0
1300,3,3,mirpur,20000.0
1150,3,3,mirpur,16000.0
1200,3,3,shahjahanpur,25000.0
700,2,2,uttara,14000.0
1150,3,3,mirpur,18000.0
650,2,2,mirpur,13000.0
700,2,2,mirpur,12500.0
1000,3,2,mohammadpur,20000.0
600,2,2,badda,12000.0
800,2,2,hazaribag,18000.0
1050,3,2,mirpur,20000.0
1185,3,3,mirpur,18500.0
2300,4,4,uttara,50000.0
850,2,2,bashabo,20000.0
1700,3,3,uttara,27000.0
700,2,1,badda,11000.0
800,2,2,kalachandpur,13000.0
700,2,2,mirpur,11000.0
1300,3,3,shantinagar,30000.0
900,2,2,uttara,16000.0
1100,3,3,mirpur,15000.0
900,2,2,rampura,16000.0
1550,3,3,shegunbagicha,40000.0
850,2,2,uttara,25000.0
1200,3,2,bashundhara r-a,18000.0
750,2,2,mohammadpur,13000.0
700,2,2,mirpur,14000.0
750,2,1,dakshin khan,11000.0
720,2,2,mohammadpur,16000.0
600,2,1,khilgaon,13000.0
1200,2,2,bashundhara r-a,22000.0
650,2,2,mirpur,10000.0
2500,3,3,baridhara,120000.0
1650,3,3,uttara,28000.0
650,2,2,mirpur,12000.0
800,2,2,mirpur,10500.0
950,3,2,motijheel,26000.0
1100,3,3,mirpur,20000.0
1450,3,4,bashundhara r-a,25000.0
1500,3,3,mohammadpur,20000.0
1500,3,3,uttara,50000.0
1500,3,3,dhanmondi,26500.0
700,2,2,mohammadpur,13000.0
800,2,2,mohammadpur,15500.0
1200,3,3,mohammadpur,15000.0
800,2,2,mirpur,9000.0
1000,3,2,bashabo,21000.0
750,2,2,bashabo,15000.0
1450,3,3,badda,26000.0
500,2,1,mirpur,11000.0
700,2,2,shahjahanpur,18000.0
1620,3,3,bashundhara r-a,30000.0
700,2,2,dakshin khan,10000.0
1500,3,3,uttara,30000.0
1150,3,2,sutrapur,18000.0
950,2,2,rampura,16000.0
500,2,1,rampura,10000.0
800,2,2,banasree,12000.0
650,2,1,mirpur,12000.0
1650,3,3,uttara,35000.0
600,2,1,dakshin khan,8000.0
1000,3,3,kalachandpur,14500.0
2065,3,4,uttara,40000.0
700,2,2,badda,13000.0
1200,3,3,shahjahanpur,26000.0
800,2,2,mirpur,11500.0
700,2,2,dhanmondi,17000.0
700,2,2,mirpur,11500.0
